sku,channel,week,units,revenue,cost,region,rep,note
SKU-1026,web,2026-W27,19,171.00,123.12,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 26
SKU-1027,web,2026-W28,20,200.00,144.00,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 27
SKU-1028,web,2026-W29,21,231.00,166.32,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 28
SKU-1029,web,2026-W30,22,264.00,190.08,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 29
SKU-1030,web,2026-W31,23,184.00,132.48,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 30
SKU-1031,web,2026-W32,24,216.00,155.52,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 31
SKU-1032,web,2026-W33,25,250.00,180.00,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 32
SKU-1033,web,2026-W34,26,286.00,205.92,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 33
SKU-1034,web,2026-W35,10,120.00,86.40,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 34
SKU-1035,web,2026-W36,11,88.00,63.36,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 35
SKU-1036,web,2026-W37,12,108.00,77.76,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 36
SKU-1037,web,2026-W38,13,130.00,93.60,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 37
SKU-1038,web,2026-W39,14,154.00,110.88,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 38
SKU-1039,web,2026-W40,15,180.00,129.60,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 39
SKU-1040,web,2026-W1,16,128.00,92.16,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 40
SKU-1041,web,2026-W2,17,153.00,110.16,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 41
SKU-1042,web,2026-W3,18,180.00,129.60,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 42
SKU-1043,web,2026-W4,19,209.00,150.48,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 43
SKU-1044,web,2026-W5,20,240.00,172.80,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 44
SKU-1045,web,2026-W6,21,168.00,120.96,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 45
SKU-1046,web,2026-W7,22,198.00,142.56,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 46
SKU-1047,web,2026-W8,23,230.00,165.60,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 47
SKU-1048,web,2026-W9,24,264.00,190.08,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 48
SKU-1049,web,2026-W10,25,300.00,216.00,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 49
SKU-1050,web,2026-W11,26,208.00,149.76,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 50
SKU-1051,web,2026-W12,10,90.00,64.80,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 51
SKU-1052,web,2026-W13,11,110.00,79.20,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 52
SKU-1053,web,2026-W14,12,132.00,95.04,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 53
SKU-1054,web,2026-W15,13,156.00,112.32,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 54
SKU-1055,web,2026-W16,14,112.00,80.64,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 55
SKU-1056,web,2026-W17,15,135.00,97.20,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 56
SKU-1057,web,2026-W18,16,160.00,115.20,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 57
SKU-1058,web,2026-W19,17,187.00,134.64,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 58
SKU-1059,web,2026-W20,18,216.00,155.52,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 59
SKU-1060,web,2026-W21,19,152.00,109.44,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 60
SKU-1061,web,2026-W22,20,180.00,129.60,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 61
SKU-1062,web,2026-W23,21,210.00,151.20,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 62
SKU-1063,web,2026-W24,22,242.00,174.24,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 63
SKU-1064,web,2026-W25,23,276.00,198.72,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 64
SKU-1065,web,2026-W26,24,192.00,138.24,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 65
SKU-1066,web,2026-W27,25,225.00,162.00,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 66
SKU-1067,web,2026-W28,26,260.00,187.20,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 67
SKU-1068,web,2026-W29,10,110.00,79.20,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 68
SKU-1069,web,2026-W30,11,132.00,95.04,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 69
SKU-1070,web,2026-W31,12,96.00,69.12,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 70
SKU-1071,web,2026-W32,13,117.00,84.24,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 71
SKU-1072,web,2026-W33,14,140.00,100.80,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 72
SKU-1073,web,2026-W34,15,165.00,118.80,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 73
SKU-1074,web,2026-W35,16,192.00,138.24,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 74
SKU-1075,web,2026-W36,17,136.00,97.92,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 75
SKU-1076,web,2026-W37,18,162.00,116.64,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 76
SKU-1077,web,2026-W38,19,190.00,136.80,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 77
SKU-1078,web,2026-W39,20,220.00,158.40,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 78
SKU-1079,web,2026-W40,21,252.00,181.44,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 79
SKU-1080,web,2026-W1,22,176.00,126.72,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 80
SKU-1081,web,2026-W2,23,207.00,149.04,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 81
SKU-1082,web,2026-W3,24,240.00,172.80,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 82
SKU-1083,web,2026-W4,25,275.00,198.00,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 83
SKU-1084,web,2026-W5,26,312.00,224.64,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 84
SKU-1085,web,2026-W6,10,80.00,57.60,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 85
SKU-1086,web,2026-W7,11,99.00,71.28,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 86
SKU-1087,web,2026-W8,12,120.00,86.40,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 87
SKU-1088,web,2026-W9,13,143.00,102.96,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 88
SKU-1089,web,2026-W10,14,168.00,120.96,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 89
SKU-1090,web,2026-W11,15,120.00,86.40,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 90
SKU-1091,web,2026-W12,16,144.00,103.68,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 91
SKU-1092,web,2026-W13,17,170.00,122.40,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 92
SKU-1093,web,2026-W14,18,198.00,142.56,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 93
SKU-1094,web,2026-W15,19,228.00,164.16,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 94
SKU-1095,web,2026-W16,20,160.00,115.20,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 95
SKU-1096,web,2026-W17,21,189.00,136.08,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 96
SKU-1097,web,2026-W18,22,220.00,158.40,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 97
SKU-1098,web,2026-W19,23,253.00,182.16,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 98
SKU-1099,web,2026-W20,24,288.00,207.36,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 99
SKU-1100,web,2026-W21,25,200.00,144.00,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 100
SKU-1101,web,2026-W22,26,234.00,168.48,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 101
SKU-1102,web,2026-W23,10,100.00,72.00,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 102
SKU-1103,web,2026-W24,11,121.00,87.12,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 103
SKU-1104,web,2026-W25,12,144.00,103.68,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 104
SKU-1105,web,2026-W26,13,104.00,74.88,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 105
SKU-1106,web,2026-W27,14,126.00,90.72,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 106
SKU-1107,web,2026-W28,15,150.00,108.00,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 107
SKU-1108,web,2026-W29,16,176.00,126.72,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 108
SKU-1109,web,2026-W30,17,204.00,146.88,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 109
SKU-1110,web,2026-W31,18,144.00,103.68,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 110
SKU-1111,web,2026-W32,19,171.00,123.12,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 111
SKU-1112,web,2026-W33,20,200.00,144.00,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 112
SKU-1113,web,2026-W34,21,231.00,166.32,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 113
SKU-1114,web,2026-W35,22,264.00,190.08,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 114
SKU-1115,web,2026-W36,23,184.00,132.48,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 115
SKU-1116,web,2026-W37,24,216.00,155.52,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 116
SKU-1117,web,2026-W38,25,250.00,180.00,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 117
SKU-1118,web,2026-W39,26,286.00,205.92,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 118
SKU-1119,web,2026-W40,10,120.00,86.40,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 119
SKU-1120,web,2026-W1,11,88.00,63.36,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 120
SKU-1121,web,2026-W2,12,108.00,77.76,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 121
SKU-1122,web,2026-W3,13,130.00,93.60,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 122
SKU-1123,web,2026-W4,14,154.00,110.88,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 123
SKU-1124,web,2026-W5,15,180.00,129.60,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 124
SKU-1125,web,2026-W6,16,128.00,92.16,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 125
SKU-1126,web,2026-W7,17,153.00,110.16,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 126
SKU-1127,web,2026-W8,18,180.00,129.60,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 127
SKU-1128,web,2026-W9,19,209.00,150.48,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 128
SKU-1129,web,2026-W10,20,240.00,172.80,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 129
SKU-1130,web,2026-W11,21,168.00,120.96,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 130
SKU-1131,web,2026-W12,22,198.00,142.56,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 131
SKU-1132,web,2026-W13,23,230.00,165.60,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 132
SKU-1133,web,2026-W14,24,264.00,190.08,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 133
SKU-1134,web,2026-W15,25,300.00,216.00,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 134
SKU-1135,web,2026-W16,26,208.00,149.76,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 135
SKU-1136,web,2026-W17,10,90.00,64.80,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 136
SKU-1137,web,2026-W18,11,110.00,79.20,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 137
SKU-1138,web,2026-W19,12,132.00,95.04,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 138
SKU-1139,web,2026-W20,13,156.00,112.32,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 139
SKU-1140,web,2026-W21,14,112.00,80.64,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 140
SKU-1141,web,2026-W22,15,135.00,97.20,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 141
SKU-1142,web,2026-W23,16,160.00,115.20,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 142
SKU-1143,web,2026-W24,17,187.00,134.64,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 143
SKU-1144,web,2026-W25,18,216.00,155.52,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 144
SKU-1145,web,2026-W26,19,152.00,109.44,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 145
SKU-1146,web,2026-W27,20,180.00,129.60,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 146
SKU-1147,web,2026-W28,21,210.00,151.20,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 147
SKU-1148,web,2026-W29,22,242.00,174.24,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 148
SKU-1149,web,2026-W30,23,276.00,198.72,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 149
SKU-1150,web,2026-W31,24,192.00,138.24,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 150
SKU-1151,web,2026-W32,25,225.00,162.00,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 151
SKU-1152,web,2026-W33,26,260.00,187.20,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 152
SKU-1153,web,2026-W34,10,110.00,79.20,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 153
SKU-1154,web,2026-W35,11,132.00,95.04,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 154
SKU-1155,web,2026-W36,12,96.00,69.12,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 155
SKU-1156,web,2026-W37,13,117.00,84.24,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 156
SKU-1157,web,2026-W38,14,140.00,100.80,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 157
SKU-1158,web,2026-W39,15,165.00,118.80,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 158
SKU-1159,web,2026-W40,16,192.00,138.24,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 159
SKU-1160,web,2026-W1,17,136.00,97.92,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 160
SKU-1161,web,2026-W2,18,162.00,116.64,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 161
SKU-1162,web,2026-W3,19,190.00,136.80,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 162
SKU-1163,web,2026-W4,20,220.00,158.40,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 163
SKU-1164,web,2026-W5,21,252.00,181.44,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 164
SKU-1165,web,2026-W6,22,176.00,126.72,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 165
SKU-1166,web,2026-W7,23,207.00,149.04,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 166
SKU-1167,web,2026-W8,24,240.00,172.80,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 167
SKU-1168,web,2026-W9,25,275.00,198.00,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 168
SKU-1169,web,2026-W10,26,312.00,224.64,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 169
SKU-1170,web,2026-W11,10,80.00,57.60,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 170
SKU-1171,web,2026-W12,11,99.00,71.28,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 171
SKU-1172,web,2026-W13,12,120.00,86.40,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 172
SKU-1173,web,2026-W14,13,143.00,102.96,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 173
SKU-1174,web,2026-W15,14,168.00,120.96,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 174
SKU-1175,web,2026-W16,15,120.00,86.40,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 175
SKU-1176,web,2026-W17,16,144.00,103.68,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 176
SKU-1177,web,2026-W18,17,170.00,122.40,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 177
SKU-1178,web,2026-W19,18,198.00,142.56,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 178
SKU-1179,web,2026-W20,19,228.00,164.16,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 179
SKU-1180,web,2026-W21,20,160.00,115.20,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 180
SKU-1181,web,2026-W22,21,189.00,136.08,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 181
SKU-1182,web,2026-W23,22,220.00,158.40,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 182
SKU-1183,web,2026-W24,23,253.00,182.16,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 183
SKU-1184,web,2026-W25,24,288.00,207.36,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 184
SKU-1185,web,2026-W26,25,200.00,144.00,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 185
SKU-1186,web,2026-W27,26,234.00,168.48,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 186
SKU-1187,web,2026-W28,10,100.00,72.00,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 187
SKU-1188,web,2026-W29,11,121.00,87.12,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 188
SKU-1189,web,2026-W30,12,144.00,103.68,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 189
SKU-1190,web,2026-W31,13,104.00,74.88,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 190
SKU-1191,web,2026-W32,14,126.00,90.72,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 191
SKU-1192,web,2026-W33,15,150.00,108.00,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 192
SKU-1193,web,2026-W34,16,176.00,126.72,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 193
SKU-1194,web,2026-W35,17,204.00,146.88,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 194
SKU-1195,web,2026-W36,18,144.00,103.68,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 195
SKU-1196,web,2026-W37,19,171.00,123.12,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 196
SKU-1197,web,2026-W38,20,200.00,144.00,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 197
SKU-1198,web,2026-W39,21,231.00,166.32,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 198
SKU-1199,web,2026-W40,22,264.00,190.08,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 199
SKU-1200,web,2026-W1,23,184.00,132.48,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 200
SKU-1201,web,2026-W2,24,216.00,155.52,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 201
SKU-1202,web,2026-W3,25,250.00,180.00,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 202
SKU-1203,web,2026-W4,26,286.00,205.92,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 203
SKU-1204,web,2026-W5,10,120.00,86.40,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 204
SKU-1205,web,2026-W6,11,88.00,63.36,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 205
SKU-1206,web,2026-W7,12,108.00,77.76,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 206
SKU-1207,web,2026-W8,13,130.00,93.60,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 207
SKU-1208,web,2026-W9,14,154.00,110.88,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 208
SKU-1209,web,2026-W10,15,180.00,129.60,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 209
SKU-1210,web,2026-W11,16,128.00,92.16,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 210
SKU-1211,web,2026-W12,17,153.00,110.16,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 211
SKU-1212,web,2026-W13,18,180.00,129.60,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 212
SKU-1213,web,2026-W14,19,209.00,150.48,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 213
SKU-1214,web,2026-W15,20,240.00,172.80,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 214
SKU-1215,web,2026-W16,21,168.00,120.96,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 215
SKU-1216,web,2026-W17,22,198.00,142.56,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 216
SKU-1217,web,2026-W18,23,230.00,165.60,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 217
SKU-1218,web,2026-W19,24,264.00,190.08,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 218
SKU-1219,web,2026-W20,25,300.00,216.00,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 219
SKU-1220,web,2026-W21,26,208.00,149.76,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 220
SKU-1221,web,2026-W22,10,90.00,64.80,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 221
SKU-1222,web,2026-W23,11,110.00,79.20,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 222
SKU-1223,web,2026-W24,12,132.00,95.04,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 223
SKU-1224,web,2026-W25,13,156.00,112.32,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 224
SKU-1225,web,2026-W26,14,112.00,80.64,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 225
SKU-1226,web,2026-W27,15,135.00,97.20,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 226
SKU-1227,web,2026-W28,16,160.00,115.20,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 227
SKU-1228,web,2026-W29,17,187.00,134.64,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 228
SKU-1229,web,2026-W30,18,216.00,155.52,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 229
SKU-1230,web,2026-W31,19,152.00,109.44,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 230
SKU-1231,web,2026-W32,20,180.00,129.60,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 231
SKU-1232,web,2026-W33,21,210.00,151.20,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 232
SKU-1233,web,2026-W34,22,242.00,174.24,EU-North,Rep-5,Regulärer Absatz in der Fläche. batch 233
SKU-1234,web,2026-W35,23,276.00,198.72,EU-North,Rep-6,Regulärer Absatz in der Fläche. batch 234
SKU-1235,web,2026-W36,24,192.00,138.24,EU-North,Rep-7,Regulärer Absatz in der Fläche. batch 235
SKU-1236,web,2026-W37,25,225.00,162.00,EU-North,Rep-8,Regulärer Absatz in der Fläche. batch 236
SKU-1237,web,2026-W38,26,260.00,187.20,EU-North,Rep-9,Regulärer Absatz in der Fläche. batch 237
SKU-1238,web,2026-W39,10,110.00,79.20,EU-North,Rep-10,Regulärer Absatz in der Fläche. batch 238
SKU-1239,web,2026-W40,11,132.00,95.04,EU-North,Rep-11,Regulärer Absatz in der Fläche. batch 239
SKU-1240,web,2026-W1,12,96.00,69.12,EU-North,Rep-0,Regulärer Absatz in der Fläche. batch 240
SKU-1241,web,2026-W2,13,117.00,84.24,EU-North,Rep-1,Regulärer Absatz in der Fläche. batch 241
SKU-1242,web,2026-W3,14,140.00,100.80,EU-North,Rep-2,Regulärer Absatz in der Fläche. batch 242
SKU-1243,web,2026-W4,15,165.00,118.80,EU-North,Rep-3,Regulärer Absatz in der Fläche. batch 243
SKU-1244,web,2026-W5,16,192.00,138.24,EU-North,Rep-4,Regulärer Absatz in der Fläche. batch 244
